scorer,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
0,819.7060411274433,1193.7759857177734,0.00020507239969447255,1346.6786267757416,1523.9286097735167,0.0006275533814914525
1,819.4034949541092,1193.2914655208588,0.00029569087200798094,1346.6327142715454,1524.0404247120023,0.000501686183270067
2,1240.1275782585144,1639.98002243042,0.0015116473659873009,1243.2819121479988,1642.9692558050156,0.0002535244857426733
3,1241.3469870090485,1641.0725917816162,0.0030198709573596716,1243.0385556817055,1642.9499485492706,0.0005989513592794538
4,1242.486343383789,1642.0158619880676,0.0022199642844498158,1242.8040580749512,1643.048184454441,0.0006104951607994735
5,1243.3774847388268,1642.4669984579086,0.003923908341675997,1241.9843575954437,1642.8220938444138,0.0007862995844334364
6,1244.033283546567,1642.7736502885818,0.004681438207626343,1242.2182168960571,1642.8098257780075,0.0011591148795560002
7,1244.2439549267292,1643.7446601092815,0.016049962490797043,1242.774060845375,1643.586451202631,0.002668214263394475
8,1243.9820093400776,1643.556205958128,0.12167257815599442,1242.9839878082275,1643.7041470706463,0.00946137122809887
9,1242.6933308839798,1643.134837925434,0.17016009986400604,1243.338373720646,1643.9336377605796,0.014308225363492966
10,1242.6939845085144,1641.7564721107483,0.386780709028244,1243.697366476059,1644.1235991343856,0.03248222544789314
11,1240.7342884540558,1640.2647562026978,0.4859844148159027,1235.5083103179932,1581.2306011915207,0.15275047719478607
12,1235.2159486413002,1643.526013493538,0.37897956371307373,1234.9139264822006,1581.706222653389,0.0236959345638752
13,1233.9467189311981,1643.1164115071297,0.258012056350708,1226.264209985733,1644.917702794075,0.009027110412716866
