scorer,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
0,736.6102826595306,728.6319591999054,0.9991956353187561,479.61706256866455,488.4548029899597,0.9991700649261475
1,736.5973539352417,728.6829581260681,0.9993390440940857,480.5318353176117,488.49978828430176,0.9992634654045105
2,737.0992529392242,728.7529475688934,0.9993178844451904,480.50491738319397,487.70547747612,0.9995446801185608
3,737.2237772941589,728.9922444820404,0.9993112087249756,479.8628306388855,487.6422047615051,0.9996157884597778
4,737.218665599823,729.0338201522827,0.999383807182312,480.7034456729889,486.41680097579956,0.9997739195823669
5,737.3300421237946,730.0544097423553,0.9993983507156372,481.08291935920715,485.64651095867157,0.9998294115066528
6,737.5217483043671,730.69218313694,0.9994034767150879,480.69924211502075,485.36166036129,0.9998582601547241
7,738.4004222154617,731.0439983606339,0.9995255470275879,481.3930764198303,484.69183468818665,0.9998655319213867
8,738.3129206895828,732.0037467221264,0.9994646906852722,482.30443501472473,482.635614156723,0.9998574256896973
9,738.1872372627258,731.1210765838623,0.9996509552001953,483.64373248815536,481.48499059677124,0.9998534917831421
10,738.8547474145889,732.1338362693787,0.9997974038124084,483.3941416144371,480.83365845680237,0.9998561143875122
11,740.0104081509635,733.0003347396851,0.9998793601989746,482.8952980041504,481.03956365585327,0.9999099969863892
12,741.2177457809448,733.7049984931946,0.9999022483825684,483.77235259115696,479.96862030029297,0.9998838901519775
13,742.5804359912872,734.8698015213013,0.9999042749404907,483.01993572711945,480.13511896133423,0.9998914003372192
14,743.6200165748596,736.0246379375458,0.9998807907104492,482.1592699289322,479.7911558151245,0.99988853931427
